gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
2573308596				CC_BY_4_0						SEAOBIS	SEAOBIS-2750593		SEAOBIS	SEAOBIS-2750593			PRESERVED_SPECIMEN				2750593					0													PRESENT								0															1974				1974														ASIA				PH					0								13.75	123.75																																																		Thunnus alalunga (Bonnaterre, 1788)								Animalia	Chordata		Perciformes		Scombridae				Thunnus	Thunnus			alalunga			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.377Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	9694948	9694948	1	44		587	8596	2373932		9694948	Thunnus alalunga	Thunnus alalunga (Bonnaterre, 1788)	Thunnus alalunga		EML	2025-04-29T13:20:12.377Z	2025-04-29T13:13:22.244Z	false			false	ASIA	ASIA	PHL	Philippines	PHL.20_1	Camarines Sur	PHL.20.31_1	Presentacion	PHL.20.31.16_1	Pili	LC
2573308595				CC_BY_4_0						SEAOBIS	SEAOBIS-2751692		SEAOBIS	SEAOBIS-2751692			PRESERVED_SPECIMEN				2751692					0													PRESENT								0															1977				1977																		ID					0								-3.75	98.75																																																		Tetrapturus audax (Philippi, 1887)								Animalia	Chordata		Perciformes		Istiophoridae				Kajikia	Tetrapturus			audax			SPECIES				SYNONYM			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.154Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397922	2397938	1	44		587	9670	2397862		2397938	Kajikia audax	Kajikia audax (Philippi, 1887)	Tetrapturus audax		EML	2025-04-29T13:20:11.154Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									LC
2573308594				CC_BY_4_0						SEAOBIS	SEAOBIS-2751815		SEAOBIS	SEAOBIS-2751815			PRESERVED_SPECIMEN				2751815					0													PRESENT								0															1994				1994																		ID					0								-8.75	133.75																																																		Tetrapturus audax (Philippi, 1887)								Animalia	Chordata		Perciformes		Istiophoridae				Kajikia	Tetrapturus			audax			SPECIES				SYNONYM			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.901Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397922	2397938	1	44		587	9670	2397862		2397938	Kajikia audax	Kajikia audax (Philippi, 1887)	Tetrapturus audax		EML	2025-04-29T13:20:11.901Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									LC
2573308593				CC_BY_4_0						SEAOBIS	SEAOBIS-2746075		SEAOBIS	SEAOBIS-2746075			PRESERVED_SPECIMEN				2746075					0													PRESENT								0																																	ASIA				VN					0								12.2	109.1																																																		Nectamia ignitops Fraser, 2008								Animalia	Chordata		Perciformes		Apogonidae				Nectamia	Nectamia			ignitops			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.432Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397464	2397464	1	44		587	4236	2397460		2397464	Nectamia ignitops	Nectamia ignitops Fraser, 2008	Nectamia ignitops		EML	2025-04-29T13:20:12.432Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	VNM	Vietnam	VNM.32_1	Khánh Hòa	VNM.32.1_1	Cam Lâm	VNM.32.1.13_1	Suối Cát	NE
2573308592				CC_BY_4_0						SEAOBIS	SEAOBIS-2758656		SEAOBIS	SEAOBIS-2758656			PRESERVED_SPECIMEN				2758656	MZB 13367		Hadiaty, Sokir & Cai		0													PRESENT								0															2004				2004														ASIA				OM					0								17.0	54.1667																																				Hadiaty, Sokir & Cai														Nemacheilus tebo Hadiaty & Kottelat, 2009								Animalia	Chordata		Cypriniformes		Nemacheilidae				Nemacheilus	Nemacheilus			tebo			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.916Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	7193529	7193529	1	44		1153	6759123	6759124		7193529	Nemacheilus tebo	Nemacheilus tebo Hadiaty & Kottelat, 2009	Nemacheilus tebo		EML	2025-04-29T13:20:10.916Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308591				CC_BY_4_0						SEAOBIS	SEAOBIS-2750528		SEAOBIS	SEAOBIS-2750528			PRESERVED_SPECIMEN				2750528					0													PRESENT								0															1991				1991																		MM					0								13.75	93.75																																																		Thunnus obesus (Lowe, 1839)								Animalia	Chordata		Perciformes		Scombridae				Thunnus	Thunnus			obesus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.860Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2373996	2373996	1	44		587	8596	2373932		2373996	Thunnus obesus	Thunnus obesus (Lowe, 1839)	Thunnus obesus		EML	2025-04-29T13:20:11.860Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308590				CC_BY_4_0						SEAOBIS	SEAOBIS-2802027		SEAOBIS	SEAOBIS-2802027			PRESERVED_SPECIMEN				2802027	IGFA				0													PRESENT								0																																	ASIA				ID					0								-8.5	119.75																																																		Caranx tille Cuvier, 1833								Animalia	Chordata		Perciformes		Carangidae				Caranx	Caranx			tille			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.981Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2390799	2390799	1	44		587	4253	2390749		2390799	Caranx tille	Caranx tille Cuvier, 1833	Caranx tille		EML	2025-04-29T13:20:10.981Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									LC
2573308589				CC_BY_4_0						SEAOBIS	SEAOBIS-2792257		SEAOBIS	SEAOBIS-2792257			PRESERVED_SPECIMEN				2792257	IGFA				0													PRESENT								0																																	ASIA				TH					0								13.5333	99.8																																																		Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata		Siluriformes		Pimelodidae				Phractocephalus	Phractocephalus			hemioliopterus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.646Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2338793	2338793	1	44		708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)	Phractocephalus hemioliopterus		EML	2025-04-29T13:20:10.646Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	THA	Thailand	THA.52_1	Ratchaburi	THA.52.6_1	Muang Ratchaburi	THA.52.6.4_1	Chedi Hak	LC
2573308588				CC_BY_4_0						SEAOBIS	SEAOBIS-724038		SEAOBIS	SEAOBIS-724038			PRESERVED_SPECIMEN				724038	ZRC 45390		M. Kottelat et al.		0													PRESENT								0															1999				1999														ASIA				LA					0								20.0167	104.596																																			Holotype	M. Kottelat et al.														Vanmanenia crassicauda Kottelat, 2000								Animalia	Chordata		Cypriniformes		Balitoridae				Vanmanenia	Vanmanenia			crassicauda			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.345Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2358113	2358113	1	44		1153	3383	2357203		2358113	Vanmanenia crassicauda	Vanmanenia crassicauda Kottelat, 2000	Vanmanenia crassicauda		EML	2025-04-29T13:20:12.345Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	LAO	Laos	LAO.5_1	Houaphan	LAO.5.7_1	Xamtay			DD
2573308587				CC_BY_4_0						SEAOBIS	SEAOBIS-2792282		SEAOBIS	SEAOBIS-2792282			PRESERVED_SPECIMEN				2792282	IGFA				0													PRESENT								0																																	ASIA				TH					0								13.5333	99.8																																																		Clarias gariepinus (Burchell, 1822)								Animalia	Chordata		Siluriformes		Clariidae				Clarias	Clarias			gariepinus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.676Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	5202793	5202793	1	44		708	8978	5202658		5202793	Clarias gariepinus	Clarias gariepinus (Burchell, 1822)	Clarias gariepinus		EML	2025-04-29T13:20:10.676Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	THA	Thailand	THA.52_1	Ratchaburi	THA.52.6_1	Muang Ratchaburi	THA.52.6.4_1	Chedi Hak	LC
2573308586				CC_BY_4_0						SEAOBIS	SEAOBIS-2751724		SEAOBIS	SEAOBIS-2751724			PRESERVED_SPECIMEN				2751724					0													PRESENT								0															1970				1970																		ID					0								-3.75	108.75																																																		Makaira nigricans Lacepède, 1802								Animalia	Chordata		Perciformes		Istiophoridae				Makaira	Makaira			nigricans			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.189Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	8098719	8098719	1	44		587	9670	2397866		8098719	Makaira nigricans	Makaira nigricans Lacepède, 1802	Makaira nigricans		EML	2025-04-29T13:20:10.189Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308585				CC_BY_4_0						SEAOBIS	SEAOBIS-2742485		SEAOBIS	SEAOBIS-2742485			PRESERVED_SPECIMEN				2742485					0													PRESENT								0																																					PH					0								13.74	120.758																																			Type															Halieutopsis vermicularis Smith & Radcliffe, 1912								Animalia	Chordata		Lophiiformes		Ogcocephalidae				Halieutopsis	Halieutopsis			vermicularis			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.405Z			195.5	195.5		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2414891	2414891	1	44		1305	4215	2414883		2414891	Halieutopsis vermicularis	Halieutopsis vermicularis Smith & Radcliffe, 1912	Halieutopsis vermicularis		EML	2025-04-29T13:20:10.405Z	2025-04-29T13:13:22.244Z	false			false	ASIA	ASIA									LC
2573308584				CC_BY_4_0						SEAOBIS	SEAOBIS-1556422		SEAOBIS	SEAOBIS-1556422			PRESERVED_SPECIMEN				1556422	USNM 70274				0													PRESENT								0																																					PH					0								13.8083	120.478																																			Holotype															Dibranchus simulus Smith & Radcliffe, 1912								Animalia	Chordata		Lophiiformes		Ogcocephalidae				Halieutopsis	Dibranchus			simulus			SPECIES				SYNONYM			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.070Z			512.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2414887	2414885	1	44		1305	4215	2414883		2414885	Halieutopsis simula	Halieutopsis simula (Smith & Radcliffe, 1912)	Dibranchus simulus		EML	2025-04-29T13:20:12.070Z	2025-04-29T13:13:22.244Z	false			false	ASIA	ASIA									LC
2573308583				CC_BY_4_0						SEAOBIS	SEAOBIS-2744687		SEAOBIS	SEAOBIS-2744687			PRESERVED_SPECIMEN				2744687					0													PRESENT								0																																	ASIA				MM					0								25.3389	97.2825																																			Type															Pillaia kachinica Kullander, Britz & Fang, 2000								Animalia	Chordata		Synbranchiformes		Chaudhuriidae				Pillaia	Pillaia			kachinica			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.063Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2351970	2351970	1	44		889	5904	2351969		2351970	Pillaia kachinica	Pillaia kachinica Kullander, Britz & Fang, 2000	Pillaia kachinica		EML	2025-04-29T13:20:12.063Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	MMR	Myanmar	MMR.4_1	Kachin	MMR.4.2_1	Myitkyina	MMR.4.2.6_1	Myitkyina	DD
2573308582				CC_BY_4_0						SEAOBIS	SEAOBIS-2750565		SEAOBIS	SEAOBIS-2750565			PRESERVED_SPECIMEN				2750565					0													PRESENT								0															2000				2000																							0								13.75	113.75																																																		Xiphias gladius Linnaeus, 1758								Animalia	Chordata		Perciformes		Xiphiidae				Xiphias	Xiphias			gladius			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.388Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397850	2397850	1	44		587	8604	2397849		2397850	Xiphias gladius	Xiphias gladius Linnaeus, 1758	Xiphias gladius		EML	2025-04-29T13:20:12.388Z	2025-04-29T13:13:22.244Z				false		ASIA									NT
2573308581				CC_BY_4_0						SEAOBIS	SEAOBIS-724025		SEAOBIS	SEAOBIS-724025			PRESERVED_SPECIMEN				724025	ZRC 45372		M. Kottelat et al.		0													PRESENT								0															1999				1999														ASIA				LA					0								19.6078	103.24																																			Holotype	M. Kottelat et al.														Schistura quaesita Kottelat, 2000								Animalia	Chordata		Cypriniformes		Nemacheilidae				Schistura	Schistura			quaesita			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.378Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	5205132	5205132	1	44		1153	6759123	2357673		5205132	Schistura quaesita	Schistura quaesita Kottelat, 2000	Schistura quaesita		EML	2025-04-29T13:20:12.378Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	LAO	Laos	LAO.18_1	Xiangkhoang	LAO.18.5_1	Pek			DD
2573308580				CC_BY_4_0						SEAOBIS	SEAOBIS-2750206		SEAOBIS	SEAOBIS-2750206			PRESERVED_SPECIMEN				2750206					0													PRESENT								0															1962				1962																		ID					0								3.75	128.75																																																		Makaira nigricans Lacepède, 1802								Animalia	Chordata		Perciformes		Istiophoridae				Makaira	Makaira			nigricans			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.808Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	8098719	8098719	1	44		587	9670	2397866		8098719	Makaira nigricans	Makaira nigricans Lacepède, 1802	Makaira nigricans		EML	2025-04-29T13:20:11.808Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308579				CC_BY_4_0						SEAOBIS	SEAOBIS-2751774		SEAOBIS	SEAOBIS-2751774			PRESERVED_SPECIMEN				2751774					0													PRESENT								0															2000				2000																		ID					0								-3.75	128.75																																																		Xiphias gladius Linnaeus, 1758								Animalia	Chordata		Perciformes		Xiphiidae				Xiphias	Xiphias			gladius			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.677Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397850	2397850	1	44		587	8604	2397849		2397850	Xiphias gladius	Xiphias gladius Linnaeus, 1758	Xiphias gladius		EML	2025-04-29T13:20:10.677Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									NT
2573308578				CC_BY_4_0						SEAOBIS	SEAOBIS-2750121		SEAOBIS	SEAOBIS-2750121			PRESERVED_SPECIMEN				2750121					0													PRESENT								0															1998				1998																		ID					0								3.75	93.75																																																		Thunnus obesus (Lowe, 1839)								Animalia	Chordata		Perciformes		Scombridae				Thunnus	Thunnus			obesus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.289Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2373996	2373996	1	44		587	8596	2373932		2373996	Thunnus obesus	Thunnus obesus (Lowe, 1839)	Thunnus obesus		EML	2025-04-29T13:20:12.289Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308577				CC_BY_4_0						SEAOBIS	SEAOBIS-2750617		SEAOBIS	SEAOBIS-2750617			PRESERVED_SPECIMEN				2750617					0													PRESENT								0															1984				1984																		PH					0								18.75	123.75																																																		Tetrapturus audax (Philippi, 1887)								Animalia	Chordata		Perciformes		Istiophoridae				Kajikia	Tetrapturus			audax			SPECIES				SYNONYM			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.341Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2397922	2397938	1	44		587	9670	2397862		2397938	Kajikia audax	Kajikia audax (Philippi, 1887)	Tetrapturus audax		EML	2025-04-29T13:20:11.341Z	2025-04-29T13:13:22.244Z	false			false	ASIA	ASIA									LC
2573308576				CC_BY_4_0						SEAOBIS	SEAOBIS-2790142		SEAOBIS	SEAOBIS-2790142			PRESERVED_SPECIMEN				2790142	IGFA				0													PRESENT								0																																	ASIA				TH					0								18.795	99.0081																																																		Barbonymus gonionotus (Bleeker, 1849)								Animalia	Chordata		Cypriniformes		Cyprinidae				Barbonymus	Barbonymus			gonionotus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:12.227Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2366114	2366114	1	44		1153	7336	2366090		2366114	Barbonymus gonionotus	Barbonymus gonionotus (Bleeker, 1849)	Barbonymus gonionotus		EML	2025-04-29T13:20:12.227Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	THA	Thailand	THA.10_1	Chiang Mai	THA.10.16_1	Muang Chiang Mai	THA.10.16.1_1		LC
2573308575				CC_BY_4_0						SEAOBIS	SEAOBIS-2750224		SEAOBIS	SEAOBIS-2750224			PRESERVED_SPECIMEN				2750224					0													PRESENT								0															1966				1966																		PH					0								8.75	128.75																																																		Makaira nigricans Lacepède, 1802								Animalia	Chordata		Perciformes		Istiophoridae				Makaira	Makaira			nigricans			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.748Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	8098719	8098719	1	44		587	9670	2397866		8098719	Makaira nigricans	Makaira nigricans Lacepède, 1802	Makaira nigricans		EML	2025-04-29T13:20:11.748Z	2025-04-29T13:13:22.244Z	false			false	ASIA	ASIA									VU
2573308574				CC_BY_4_0						SEAOBIS	SEAOBIS-2751809		SEAOBIS	SEAOBIS-2751809			PRESERVED_SPECIMEN				2751809					0													PRESENT								0															1991				1991																		ID					0								-8.75	133.75																																																		Thunnus obesus (Lowe, 1839)								Animalia	Chordata		Perciformes		Scombridae				Thunnus	Thunnus			obesus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:11.903Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	2373996	2373996	1	44		587	8596	2373932		2373996	Thunnus obesus	Thunnus obesus (Lowe, 1839)	Thunnus obesus		EML	2025-04-29T13:20:11.903Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA									VU
2573308573				CC_BY_4_0						SEAOBIS	SEAOBIS-2792284		SEAOBIS	SEAOBIS-2792284			PRESERVED_SPECIMEN				2792284	IGFA				0													PRESENT								0																																	ASIA				TH					0								13.5333	99.8																																																		Clarias gariepinus (Burchell, 1822)								Animalia	Chordata		Siluriformes		Clariidae				Clarias	Clarias			gariepinus			SPECIES				ACCEPTED			5853051c-42f5-4246-bfde-4aaba3ef3bf8	PH	2025-04-29T13:20:10.679Z			0.0	0.0		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD;INSTITUTION_MATCH_NONE		true	false	5202793	5202793	1	44		708	8978	5202658		5202793	Clarias gariepinus	Clarias gariepinus (Burchell, 1822)	Clarias gariepinus		EML	2025-04-29T13:20:10.679Z	2025-04-29T13:13:22.244Z	true			false	ASIA	ASIA	THA	Thailand	THA.52_1	Ratchaburi	THA.52.6_1	Muang Ratchaburi	THA.52.6.4_1	Chedi Hak	LC
